"34","Marcus Stroman","NYY","SP","PIT","2.10","1.29","0.02","0.00","4.11","1.45","0.96","2.12","0.91","0.05","0.00","0.00","0.02","0.00","44%"
"35","Martin Perez","SD","SP,RP","@ARI","5.27","3.90","0.22","0.00","4.90","1.62","2.87","6.24","2.20","0.25","0.00","0.00","0.04","0.00","21%"
"36","Hogan Harris","OAK","SP,RP","@SEA","1.74","1.82","0.02","0.00","4.92","1.34","0.95","1.54","0.74","0.11","0.00","0.00","0.03","0.00","1%"
"37","Dylan Lee","ATL","RP","KC","0.56","0.58","0.00","0.00","3.85","0.76","0.24","0.37","0.05","0.02","0.00","0.00","0.00","0.00","1%"
"38","Aaron Bummer","ATL","RP","KC","0.58","0.58","0.01","0.00","3.63","1.07","0.23","0.38","0.23","0.01","0.00","0.00","0.00","0.00","0%"
"39","Tristan Beck","SF","RP","STL","2.05","1.47","0.03","0.00","5.26","1.32","1.20","2.03","0.64","0.06","0.00","0.00","0.04","0.00","0%"
"41","Pierce Johnson","ATL","RP","KC","0.57","0.60","0.00","0.00","3.83","1.07","0.24","0.37","0.23","0.02","0.00","0.00","0.00","0.00","1%"
"42","Carson Spiers","CIN","RP,SP","@CHC","1.93","1.80","0.02","0.00","4.21","1.60","0.90","2.20","0.86","0.07","0.00","0.00","0.02","0.00","2%"
"43","Mason Montgomery","TB","RP,SP","@BOS","1.91","1.98","0.03","0.00","4.36","1.63","0.93","2.40","0.69","0.07","0.00","0.00","0.03","0.00","1%"
"44","Joe Jimenez","ATL","RP","KC","0.57","0.59","0.00","0.01","4.78","1.06","0.30","0.37","0.22","0.02","0.00","0.00","0.00","0.00","10%"
"45","Reed Garrett","NYM","RP","@MIL","0.56","0.59","0.00","0.00","4.06","1.20","0.25","0.37","0.30","0.02","0.00","0.00","0.00","0.00","10%"
"46","Danny Young","NYM","RP","@MIL","0.56","0.57","0.00","0.00","4.04","1.21","0.25","0.37","0.29","0.02","0.00","0.00","0.00","0.00","0%"
"47","Alex Young","NYM","RP","@MIL","0.38","0.37","0.01","0.00","3.63","1.40","0.15","0.41","0.11","0.05","0.00","0.00","0.01","0.00","0%"
"48","Jose Butto","NYM","RP,SP","@MIL","0.76","0.79","0.01","0.00","4.87","1.44","0.41","0.72","0.37","0.10","0.00","0.00","0.01","0.00","5%"
"49","Phil Maton","NYM","RP","@MIL","0.56","0.55","0.00","0.00","5.17","1.21","0.32","0.38","0.28","0.03","0.00","0.00","0.00","0.00","2%"
"50","Adam Ottavino","NYM","RP","@MIL","0.43","0.46","0.01","0.00","5.67","1.24","0.27","0.38","0.13","0.04","0.00","0.00","0.01","0.00","2%"
"51","Spencer Bivens","SF","RP","STL","1.92","1.37","0.03","0.00","5.62","1.42","1.20","2.03","0.68","0.05","0.00","0.00","0.04","0.00","1%"
"52","Jesse Chavez","ATL","RP","KC","0.38","0.35","0.01","0.00","6.19","1.14","0.26","0.37","0.06","0.03","0.00","0.00","0.01","0.00","0%"
"53","Luke Jackson","ATL","RP","KC","0.47","0.45","0.01","0.00","5.23","1.48","0.27","0.43","0.25","0.04","0.00","0.00","0.01","0.00","0%"
"54","Ryne Stanek","NYM","RP","@MIL","0.44","0.47","0.01","0.00","5.61","1.48","0.27","0.38","0.25","0.05","0.00","0.00","0.01","0.00","3%"
"55","Huascar Brazoban","NYM","RP","@MIL","0.43","0.44","0.01","0.00","5.67","1.54","0.27","0.39","0.26","0.04","0.00","0.00","0.01","0.00","0%"
"56","Carson Fulmer","LAA","SP,RP","TEX","1.94","1.56","0.03","0.00","6.34","1.54","1.37","2.15","0.81","0.10","0.00","0.00","0.05","0.00","1%"
"57","Ryan Feltner","COL","SP","LAD","5.36","4.60","0.27","0.00","6.40","1.75","3.81","6.86","2.42","0.54","0.00","0.00","0.06","0.00","2%"
""
""
